流水號,名稱,維基集數,ESFIO,無文字版本,imgur,i.imgur
SS0148,她會不會唱鬆餅人那首歌,18-A,S1E36,,https://imgur.com/ifL1FGi,https://i.imgur.com/ifL1FGi.jpg
SS0149,那麼 也許是因為你太醜了,22-A,S2E03,,https://imgur.com/boZTsJU,https://i.imgur.com/boZTsJU.jpg
SS0150,你好醜哦,22-A,S2E03,,https://imgur.com/87t5Fis,https://i.imgur.com/87t5Fis.jpg
SS0151,這個故事叫醜八怪小貝貝,22-A,S2E03,,https://imgur.com/JdNwAXR,https://i.imgur.com/JdNwAXR.jpg
SS0152,從前有個醜八怪小貝貝,22-A,S2E03,,https://imgur.com/P2yilCm,https://i.imgur.com/P2yilCm.jpg
SS0153,他好醜哦,22-A,S2E03,,https://imgur.com/q0Y2Oan,https://i.imgur.com/q0Y2Oan.jpg
SS0154,醜到大家都死光光了,22-A,S2E03,,https://imgur.com/sxnn1O3,https://i.imgur.com/sxnn1O3.jpg
SS0155,講完了,22-A,S2E03,,https://imgur.com/rm5Bs00,https://i.imgur.com/rm5Bs00.jpg
SS0156,從我認識你就這樣了,22-A,S2E03,,https://imgur.com/R56CvLo,https://i.imgur.com/R56CvLo.jpg
SS0157,好可憐的醜海綿,22-A,S2E03,,https://imgur.com/mKm1ks1,https://i.imgur.com/mKm1ks1.jpg
SS0158,尖叫,22-A,S2E03,,https://imgur.com/RoxHPCa,https://i.imgur.com/RoxHPCa.jpg
SS0159,他又在鬼叫些什麼,22-A,S2E03,,https://imgur.com/4XbPvpr,https://i.imgur.com/4XbPvpr.jpg
SS0160,你們這些人是怎樣,22-A,S2E03,,https://imgur.com/S0cZOzy,https://i.imgur.com/S0cZOzy.jpg
SS0161,看看他 他好醜對不對,22-A,S2E03,,https://imgur.com/Sc3YU5m,https://i.imgur.com/Sc3YU5m.jpg
SS0162,你要我們的命啊,22-A,S2E03,,https://imgur.com/JGhEqOH,https://i.imgur.com/JGhEqOH.jpg
SS0163,你把醜八怪病傳染給我了,22-A,S2E03,,https://imgur.com/dRCszBr,https://i.imgur.com/dRCszBr.jpg
SS0164,醜要醜得有尊嚴,22-A,S2E03,,https://imgur.com/IDjOs6z,https://i.imgur.com/IDjOs6z.jpg
SS0165,可是我以前可是個大帥哥,22-A,S2E03,,https://imgur.com/SFlXbjp,https://i.imgur.com/SFlXbjp.jpg
SS0166,我變得跟你一樣醜了,22-A,S2E03,,https://imgur.com/iKu8Bmy,https://i.imgur.com/iKu8Bmy.jpg
SS0167,一些烤牛肉 幾塊炸雞 披薩,22-A,S2E03,,https://imgur.com/biZMKHm,https://i.imgur.com/biZMKHm.jpg
SS0168,我一直在想,22-A,S2E03,,https://imgur.com/mlhzo7M,https://i.imgur.com/mlhzo7M.jpg
SS0169,要是我長得跟你一樣醜,22-A,S2E03,,https://imgur.com/XlWsE9S,https://i.imgur.com/XlWsE9S.jpg
SS0170,我該怎麼辦才好呢,22-A,S2E03,,https://imgur.com/Oll8INy,https://i.imgur.com/Oll8INy.jpg
SS0171,我媽會怎麼說呢,22-A,S2E03,,https://imgur.com/5RktbyA,https://i.imgur.com/5RktbyA.jpg
SS0172,我的天啊 要是我姊姊發現了,22-A,S2E03,,https://imgur.com/SVCzzBQ,https://i.imgur.com/SVCzzBQ.jpg
SS0173,等等 我沒有姊姊,22-A,S2E03,,https://imgur.com/NvW8m7q,https://i.imgur.com/NvW8m7q.jpg
SS0174,你到底有什麼問題啊,47-A,S3E13,,https://imgur.com/w9xxLjR,https://i.imgur.com/w9xxLjR.jpg
SS0175,他是不是有問題,47-A,S3E13,,https://imgur.com/ZTysRjR,https://i.imgur.com/ZTysRjR.jpg
SS0176,有時候我好佩服 我自己這麼聰明哦,47-A,S3E13,,https://imgur.com/rrWIPyu,https://i.imgur.com/rrWIPyu.jpg
SS0177,我從沒有聽過這麼離譜的事,49-A,S3E17,,https://imgur.com/JKsWuGK,https://i.imgur.com/JKsWuGK.jpg
SS0178,雙胞胎,08-A,S1E16,,https://imgur.com/hLBocH2,https://i.imgur.com/hLBocH2.jpg
SS0179,我又不知道,08-A,S1E16,,https://imgur.com/nMMQqm5,https://i.imgur.com/nMMQqm5.jpg
SS0180,他們還說 我什麼事情都做不好呢,15-B,S1E31,,https://imgur.com/dXsqq4v,https://i.imgur.com/dXsqq4v.jpg
SS0181,不 求求你 不要打我,15-B,S1E31,,https://imgur.com/afPTNBe,https://i.imgur.com/afPTNBe.jpg
SS0182,準備好要接受治療了嗎,15-B,S1E31,,https://imgur.com/p1MfhXG,https://i.imgur.com/p1MfhXG.jpg
SS0183,好的 進去吧,11-B,S1E23,,https://imgur.com/CcVcBCi,https://i.imgur.com/CcVcBCi.jpg
SS0184,他怎麼了 腦袋壞掉了,49-B,S3E18,,https://imgur.com/Z6wZ50X,https://i.imgur.com/Z6wZ50X.jpg
SS0185,要是我當媽媽 他可能會被我嚇到,49-B,S3E18,,https://imgur.com/Bik3wPR,https://i.imgur.com/Bik3wPR.jpg
SS0186,你們要繼續裝可愛哦,49-B,S3E18,,https://imgur.com/jbtp3VS,https://i.imgur.com/jbtp3VS.jpg
SS0187,好啦 明天再說吧,49-B,S3E18,,https://imgur.com/w6QpwuP,https://i.imgur.com/w6QpwuP.jpg
SS0188,他的頭被兩顆椰子砸到了,49-B,S3E18,,https://imgur.com/SWeJVre,https://i.imgur.com/SWeJVre.jpg
SS0189,做起來沒有看起來那麼容易,49-B,S3E18,,https://imgur.com/j4pkczE,https://i.imgur.com/j4pkczE.jpg
SS0190,滿公道的,02-A,S1E04,,https://imgur.com/yZd2BRE,https://i.imgur.com/yZd2BRE.jpg
SS0191,吹一次兩毛五 先生,02-A,S1E04,,https://imgur.com/soidQow,https://i.imgur.com/soidQow.jpg
SS0192,多學著點,02-A,S1E04,,https://imgur.com/79fr3cI,https://i.imgur.com/79fr3cI.jpg
SS0193,你好壞喔,05-A,S1E10,,https://imgur.com/OS67g6a,https://i.imgur.com/OS67g6a.jpg
SS0194,這個地方變得越來越詭異了,23-B,S2E06,,https://imgur.com/WtI14Rj,https://i.imgur.com/WtI14Rj.jpg
SS0195,就像個精靈,28,S2E15,,https://imgur.com/C8jqvVc,https://i.imgur.com/C8jqvVc.jpg
